time,iface,sip,dip,dport,proto,packets received,packets sent,%,data vol. received,data vol. sent,%
1464051037,t4_12759,213.156.234.4,224.0.0.5,0,OSPFIGP,21,0,0.78,1760,0,0.33
1464051037,eth0,169.254.204.142,169.254.255.255,137,UDP3,0,0.11,276,0,0.05
1464051037,eth0,169.254.169.121,169.254.255.255,138,UDP1,0,0.04,243,0,0.05
1464051037,eth0,213.156.236.87,213.156.236.255,4002,UDP5,0,0.19,470,0,0.09
1464051037,eth0,213.156.236.25,213.156.236.32,22,TCP,25,15,1.48,1690,1135,0.54
1464051037,eth0,169.254.204.142,169.254.255.255,138,UDP1,0,0.04,243,0,0.05
1464051037,t4_12743,213.156.234.1,224.0.0.5,0,OSPFIGP,0,21,0.78,0,1792,0.34
1464051037,eth5,10.0.0.1,10.50.0.2,500,UDP,0,16,0.59,0,10080,1.91
1464051037,eth1,10.0.0.1,10.0.0.2,0,ESP,61,61,4.52,9790,9822,3.72
1464051037,eth0,213.156.236.111,213.156.236.255,138,UDP,2,0,0.07,492,0,0.09
1464051037,eth0,0.0.0.0,255.255.255.255,67,UDP,140,0,5.19,71162,0,13.49
1464051037,eth0,213.156.236.111,213.156.236.255,137,UDP,3,0,0.11,276,0,0.05
1464051037,eth0,169.254.169.121,169.254.255.255,137,UDP,3,0,0.11,276,0,0.05
1464051037,t4_12743,213.156.234.2,224.0.0.5,0,OSPFIGP,21,0,0.78,1760,0,0.33
1464051037,t4_13444,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1600,0.30
1464051037,eth3,10.30.0.2,10.30.0.1,0,ESP,101,61,6.01,16430,9822,4.98
1464051037,eth0,213.156.236.32,213.156.227.131,123,UDP,8,8,0.59,720,720,0.27
1464051037,t4_12759,213.156.234.1,224.0.0.5,0,OSPFIGP,0,21,0.78,0,1792,0.34
1464051037,eth0,fe80::ec4:7aff:fe08:65f9,ff02::1:2,547,UDP,3,0,0.11,270,0,0.05
1464051037,eth0,213.156.236.167,213.156.236.119,22,TCP,1,0,0.04,66,0,0.01
1464051037,eth0,213.156.236.245,213.156.236.32,22,TCP,12,4,0.59,824,296,0.21
1464051037,t4_12749,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1600,0.30
1464051037,eth2,10.20.0.1,10.20.0.2,0,ESP,61,61,4.52,9822,9790,3.72
1464051037,eth0,213.156.236.25,213.156.236.32,22,TCP,15,5,0.74,1030,370,0.27
1464051037,t4_12745,213.156.234.1,224.0.0.5,0,OSPFIGP,0,21,0.78,0,1760,0.33
1464051037,t4_12745,213.156.234.3,224.0.0.5,0,OSPFIGP,21,0,0.78,1792,0,0.34
1464051037,eth0,213.156.236.245,213.156.236.32,22,TCP,29,17,1.71,1956,1296,0.62
1464051037,eth0,213.156.236.211,213.156.236.255,138,2,0,0.07,525,0,0.10
1464051037,eth0,213.156.236.239,239.255.2.2,9753,UDP,1,0,0.04,85,0,0.02
1464051337,t4_12749,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1600,0.30
1464051337,eth2,10.20.0.1,10.20.0.2,0,ESP,60,60,4.45,9640,9640,3.65
1464051337,t4_13444,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1600,0.30
1464051337,eth0,213.156.236.227,224.0.0.252,5355,UDP,4,0,0.15,272,0,0.05
1464051337,eth0,213.156.236.245,213.156.236.32,22,TCP,15,5,0.74,1030,370,0.27
1464051337,eth0,213.156.236.237,213.156.236.255,137,UDP,30,0,1.11,2760,0,0.52
1464051337,t4_12743,213.156.234.2,224.0.0.5,0,OSPFIGP,20,0,0.74,1680,0,0.32
1464051337,eth0,213.156.236.237,224.0.0.252,5355,UDP,4,0,0.15,272,0,0.05
1464051337,t4_12759,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1680,0.32
1464051337,eth0,0.0.0.0,255.255.255.255,67,UDP,141,0,5.23,72248,0,13.69
1464051337,eth0,169.254.204.142,169.254.255.255,137,UDP,3,0,0.11,276,0,0.05
1464051337,eth0,213.156.236.212,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051337,eth0,213.156.236.25,213.156.236.32,22,TCP,15,5,0.74,1030,370,0.27
1464051337,eth0,fe80::a4ff:4f2f:7bc2:f57,ff02::1:3,5355,UDP,3,0,0.11,260,0,0.05
1464051337,t4_12759,213.156.234.4,224.0.0.5,0,OSPFIGP,20,0,0.74,1680,0,0.32
1464051337,eth0,213.156.236.227,213.156.236.255,137,UDP,12,0,0.44,1104,0,0.21
1464051337,eth0,213.156.236.32,213.156.239.131,123,UDP,8,8,0.59,720,720,0.27
1464051337,t4_12745,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1680,0.32
1464051337,eth0,213.156.236.87,213.156.236.255,4002,UDP,5,0,0.19,470,0,0.09
1464051337,eth0,fe80::24c6:6b9a:edee:4051,ff02::1:3,5355,UDP,3,0,0.11,260,0,0.05
1464051337,t4_12745,213.156.234.3,224.0.0.5,0,OSPFIGP,20,0,0.74,1680,0,0.32
1464051337,eth1,10.0.0.1,10.0.0.2,0,ESP,60,60,4.45,9640,9640,3.65
1464051337,t4_12743,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1680,0.32
1464051337,eth0,fe80::ec4:7aff:fe08:65f9,ff02::1:2,547,UDP,2,0,0.07,180,0,0.03
1464051337,eth0,213.156.236.245,213.156.236.32,22,TCP,25,15,1.48,1690,1135,0.54
1464051337,eth5,10.0.0.1,10.50.0.2,500,UDP,0,18,0.67,0,11340,2.15
1464051337,eth0,169.254.169.121,169.254.255.255,137,UDP,3,0,0.11,276,0,0.05
1464051337,eth0,213.156.236.111,213.156.236.255,137,UDP,3,0,0.11,276,0,0.05
1464051337,eth0,169.254.12.248,169.254.255.255,138,UDP,1,0,0.04,243,0,0.05
1464051337,eth0,213.156.236.25,213.156.236.32,22,TCP,25,15,1.48,1690,1135,0.54
1464051337,eth3,10.30.0.2,10.30.0.1,0,ESP,100,60,5.93,16280,9640,4.91
1464051637,eth0,213.156.236.111,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,eth0,213.156.236.167,213.156.236.158,22,TCP,1,0,0.04,94,0,0.02
1464051637,eth0,213.156.236.25,213.156.236.32,22,TCP,15,5,0.74,1030,370,0.27
1464051637,eth0,213.156.236.147,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,eth0,fe80::a800:ff:fe7c:d71f,ff02::16,0,HOPOPT,2,0,0.07,180,0,0.03
1464051637,eth0,213.156.236.211,213.156.236.255,138,UDP,2,0,0.07,525,0,0.10
1464051637,t4_12759,213.156.234.4,224.0.0.5,0,OSPFIGP,20,0,0.74,1680,0,0.32
1464051637,t4_12745,213.156.234.3,224.0.0.5,0,OSPFIGP,20,0,0.74,1680,0,0.32
1464051637,t4_13444,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1600,0.30
